14:40; temperature; -7
14:40; wind speed; 11
14:40; pressure; 738
14:40; temperature; -11
14:40; wind speed; 22
14:40; pressure; 742
14:40; temperature; -14
14:40; wind speed; 18
14:40; pressure; 744
14:40; temperature; -8
14:40; wind speed; 29
14:40; pressure; 721
14:40; temperature; -1
14:40; wind speed; 16
14:40; pressure; 735
14:40; temperature; -15
14:40; wind speed; 13
14:40; pressure; 741
14:40; temperature; -17
14:40; wind speed; 24
14:40; pressure; 735
14:40; temperature; -6
14:40; wind speed; 17
14:40; pressure; 745
14:40; temperature; -18
14:40; wind speed; 26
14:40; pressure; 725
14:40; temperature; -1
14:40; wind speed; 8
14:40; pressure; 737
14:40; temperature; 0
14:40; wind speed; 15
14:40; pressure; 750
14:47; temperature; -2
14:47; wind speed; 6
14:47; pressure; 749
14:54; temperature; -17
14:54; wind speed; 6
14:54; pressure; 726
14:54; temperature; -2
14:54; wind speed; 18
14:54; pressure; 726
14:55; temperature; -5
14:55; wind speed; 6
14:55; pressure; 737
14:55; temperature; -4
14:55; wind speed; 28
14:55; pressure; 735
14:56; temperature; -3
14:56; wind speed; 7
14:56; pressure; 747
14:56; temperature; -7
14:56; wind speed; 16
14:56; pressure; 725
